strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
best_candidate,5.0,0.35,100,300,3.0,0,reactions,False,100,300,0.87
hub_batching,5.0,0.4,168,300,1.7857,91055,reactions,False,168,300,0.66
best_candidate,5.0,0.4,100,300,3.0,0,reactions,False,100,300,1.98
hub_batching,5.0,0.45,193,300,1.5544,71200,reactions,False,193,300,0.63
best_candidate,5.0,0.45,100,300,3.0,0,reactions,False,100,300,4.14
hub_batching,5.0,0.5,228,299,1.3114,47115,reactions,False,229,302,0.55
best_candidate,5.0,0.5,100,298,2.98,0,reactions,False,101,301,5.61
hub_batching,5.0,0.55,265,300,1.1321,24383,reactions,False,265,300,0.36
best_candidate,5.0,0.55,102,298,2.9216,0,reactions,False,103,301,4.04
hub_batching,5.0,0.6,283,298,1.053,10550,reactions,False,284,301,0.24
best_candidate,5.0,0.6,104,300,2.8846,0,reactions,False,104,300,2.96
hub_batching,5.0,0.65,293,300,1.0239,5702,reactions,False,293,300,0.15
best_candidate,5.0,0.65,106,298,2.8113,0,reactions,False,107,301,2.34
hub_batching,5.0,0.7,297,300,1.0101,2799,reactions,False,297,300,0.13
best_candidate,5.0,0.7,107,299,2.7944,0,reactions,False,108,302,1.93
hub_batching,5.0,0.75,297,300,1.0101,2799,reactions,False,297,300,0.14
best_candidate,5.0,0.75,108,299,2.7685,0,reactions,False,109,302,1.75
hub_batching,5.0,0.8,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,5.0,0.8,108,299,2.7685,0,reactions,False,109,302,1.54
hub_batching,5.0,0.85,298,300,1.0067,1104,reactions,False,298,300,0.13
best_candidate,5.0,0.85,107,300,2.8037,0,reactions,False,107,300,1.39
