cell,arm,slice,class,named_reaction,parent,n_molecules,n_wells,n_multi_product_wells,n_distinct_reagent_sets,n_distinct_parents,n_distinct_templates,reward_min,reward_median,reward_max,first_step,last_step
scent_seh_seed44_par10,best_candidate,at100rxn,A,Direct acid -> amine (reductive),Nc1ccc(-c2cc(NC[C@@H]3Cc4ccccc4CN3)[nH]n2)cc1,1,1,0,1,1,1,8.271,8.271,8.271,26,26
scent_seh_seed44_par10,best_candidate,at100rxn,A,Amide coupling,O=C(O)c1ccc2oc(-c3ccc(CO[C@H]4CN5CCC4CC5)cc3)nc2c1,1,1,0,1,1,1,8.266,8.266,8.266,27,27
scent_seh_seed44_par10,best_candidate,at100rxn,B,N-alkylation (azole N-H + alkyl halide),,9,9,0,3,9,3,8.277,8.319,8.404,1,22
scent_seh_seed44_par10,best_candidate,at100rxn,B,Amide coupling,,4,4,0,4,4,2,8.266,8.282,8.356,4,27
scent_seh_seed44_par10,best_candidate,at100rxn,B,Direct acid -> amine (reductive),,4,4,0,4,4,2,8.271,8.278,8.305,14,26
scent_seh_seed44_par10,best_candidate,at100rxn,B,Triazole formation (alkyne + alkyl halide),,3,3,0,1,3,1,8.305,8.313,8.396,2,15
scent_seh_seed44_par10,best_candidate,at100rxn,B,Suzuki coupling,,3,3,0,2,3,1,8.283,8.298,8.309,13,20
scent_seh_seed44_par10,best_candidate,at100rxn,B,Buchwald-Hartwig amination,,2,2,0,2,2,1,8.277,8.314,8.351,5,23
scent_seh_seed44_par10,best_candidate,at100rxn,B,Williamson ether synthesis,,1,1,0,1,1,1,8.326,8.326,8.326,8,8
scent_seh_seed44_par10,best_candidate,at100rxn,B,Suzuki coupling (pinacol boronate),,1,1,0,1,1,1,8.315,8.315,8.315,10,10
scent_seh_seed44_par10,best_candidate,full,A,Buchwald-Hartwig amination,O=C(Nc1ccc(Br)cc1)C1CNC1,2,2,0,2,1,1,8.139,8.245,8.351,5,123
