template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
40,79,0.9985,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
141,79,0.9986,Pictet-Spengler cyclisation,False,[#6:2]-[Ch:1]=O.[Nh&!R:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21 >> [#6:2]-[Ch:1]3[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
163,78,0.9987,Functional-group interconversion (Cl -> Br),True,[c:1]-[Cl] >> [c:1]-[Br]
129,75,0.9988,Urea formation (amine + amine),False,"[#6&!$(C=[O,N]):11]-[Nh:6]-[#6&!$(C=[O,N]):10].[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[N:6](-[#6&!$(C=[O,N]):11])-[#6&!$(C=[O,N]):10]"
164,59,0.9989,Functional-group interconversion (Cl -> I),True,[c:1]-[Cl] >> [c:1]-[I]
51,53,0.999,SNAr (halo-heteroarene + amine),False,"[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1.[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][n:9]1"
169,52,0.999,Functional-group interconversion (Cl -> Sh),True,[c:1]-[Cl] >> [c:1]-[Sh]
157,50,0.9991,Functional-group interconversion (Cl -> Nh),True,[c:1]-[Cl] >> [c:1]-[Nh2]
133,48,0.9992,Tetrazole formation (isothiocyanate),False,[#6:5]-[N:6]=[C:7]=S.[Ch0:1](=[O:2])[C:3]-[Nh2:4] >> [Ch0:1](=[O:2])[C:3]-[Nh:4][c:7]1nnn[n:6]([#6:5])1
62,48,0.9992,aza-Michael addition (vinyl sulfone),False,"[#6&!$(C=[O,N]):10][Nh2:1].[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[S:4](=O)(=O)"
95,46,0.9993,Triazole formation (alkyne + alkyl halide),False,[#6:4]-[Ch2:5]-[Br].[#6:1]-[C:2]#[Ch:3] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
44,45,0.9993,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][n:9]1"
154,43,0.9994,Functional-group interconversion (Cl -> C),True,[c:1]-[Cl] >> [c:1]-[C]#N
179,36,0.9995,Williamson ether synthesis,False,[C:2]-[Oh:3].[Ch2:1]-[I] >> [Ch2:1]-[O:3]-[C:2]
140,34,0.9995,Pictet-Spengler cyclisation,False,[Nh&!R:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[Ch:1]=O >> [#6:2]-[Ch:1]3[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
149,32,0.9995,Pictet-Spengler cyclisation,False,[#6:2]-[C:1](=O)-[Oh].[Nh2:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21 >> [#6:2]-[C:1]3=[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
160,32,0.9996,Functional-group interconversion (Cl -> Oh),True,[c:1]-[Cl] >> [c:1]-[Oh]
111,31,0.9996,Buchwald-Hartwig amination,False,"[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
148,31,0.9997,Pictet-Spengler cyclisation,False,[Nh2:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[C:1](=O)-[Oh] >> [#6:2]-[C:1]3=[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
