tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rgfn_seh,hub_batching,62,62,178,1,7.19536828994751,Nc1ccc(Br)cc1NC(=O)Nc1ccc(-c2csc(NC3CC3)n2)cn1,Nc1ccc(NCc2c[nH]c3ccccc23)cc1NC(=O)Nc1ccc(-c2csc(NC3CC3)n2)cn1
rgfn_seh,hub_batching,63,63,182,4,7.247613430023193,O=C(O)C1CCN1C(=O)c1ccc2oc(-c3ccccc3-c3cccnc3)nc2c1,O=C(c1ccc2oc(-c3ccccc3-c3cccnc3)nc2c1)N1CCC1C1=NCCc2ccccc21
rgfn_seh,hub_batching,64,64,183,1,7.056792736053467,O=C(O)C1CCN1C(=O)c1ccc2oc(-c3ccccc3-c3cccnc3)nc2c1,O=C(NCCc1c[nH]c2ccccc12)C1CCN1C(=O)c1ccc2oc(-c3ccccc3-c3cccnc3)nc2c1
rgfn_seh,hub_batching,65,65,187,4,7.476385593414307,O=C(O)c1ccc2nc(-c3cc(-c4csc(NC(=O)c5ccncc5)n4)ccc3F)oc2c1,O=C(Nc1nc(-c2ccc(F)c(-c3nc4ccc(CNC56CC(C5)C6)cc4o3)c2)cs1)c1ccncc1
rgfn_seh,hub_batching,66,66,191,4,7.203184127807617,O=C(O)c1ccc2oc(C3CCCN3C(=O)Nc3cc(-c4cccnc4)n[nH]3)nc2c1,O=C(Nc1cc(-c2cccnc2)n[nH]1)N1CCCC1c1nc2cc(CNC34CC(C3)C4)ccc2o1
rgfn_seh,hub_batching,67,67,195,4,7.43505334854126,c1ccc(CNCc2ccc3oc(-c4ccc5oc(-c6cccnc6)nc5c4)nc3c2)cc1,c1ccc(CN(Cc2ccc3oc(-c4ccc5oc(-c6cccnc6)nc5c4)nc3c2)C2CNC2)cc1
rgfn_seh,hub_batching,68,68,199,4,7.1103739738464355,COc1ccc(Cn2nnc(-c3ccc(-c4cnc(F)c(-c5ccc(N)c(N)c5)c4)cc3F)n2)cc1,COc1ccc(Cn2nnc(-c3ccc(-c4cnc(F)c(-c5ccc(NCC6Cc7ccccc7CN6)c(N)c5)c4)cc3F)n2)cc1
rgfn_seh,hub_batching,69,69,203,4,7.419806480407715,Nc1ccc(-c2ccc(NCc3ccccc3-c3cccnc3)c(N)c2)cn1,Nc1cc(-c2ccc(NCC3CCN3)nc2)ccc1NCc1ccccc1-c1cccnc1
rgfn_seh,hub_batching,70,70,207,4,7.657225131988525,N#Cc1ccc(-c2ccc(NCc3ccc4oc(-c5cccnc5)nc4c3)c(N)c2)s1,Nc1cc(-c2ccc(-c3nnn(CC4CC4)n3)s2)ccc1NCc1ccc2oc(-c3cccnc3)nc2c1
rgfn_seh,hub_batching,71,71,211,4,7.239475727081299,Nc1ccc(Br)cc1NC(=O)c1ccc2nc(-c3ccc4oc(-c5cc(C(F)(F)F)ccn5)nc4c3)oc2c1,O=C(Nc1cc(Br)ccc1NCC1Cc2ccccc2CN1)c1ccc2nc(-c3ccc4oc(-c5cc(C(F)(F)F)ccn5)nc4c3)oc2c1
rgfn_seh,hub_batching,72,72,215,4,7.945950508117676,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1cccc(-c2c[nH]cn2)c1,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1cccc(-c2cn(CC3CC3)cn2)c1
rgfn_seh,hub_batching,73,73,219,4,7.057119846343994,Nc1cc(Br)ccc1NC(=O)CNC(=O)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1,O=C(CNC(=O)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1)Nc1ccc(Br)cc1NC(=O)C1CNC1
rgfn_seh,hub_batching,74,74,220,1,7.03538703918457,Nc1cc(Br)ccc1NC(=O)CNC(=O)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1,O=C(NCC(=O)n1c(C2Cc3ccccc3CN2)nc2cc(Br)ccc21)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1
rgfn_seh,hub_batching,75,75,224,4,7.190212726593018,COc1ccc(Cn2nnc(-c3ccc(-c4cc(NC(=O)N5CCCC(CO)C5)[nH]n4)cc3F)n2)cc1,COc1ccc(Cn2nnc(-c3ccc(-c4cc(NC(=O)N5CCCC(COCc6cc(=O)[nH]c7ccccc67)C5)[nH]n4)cc3F)n2)cc1
rgfn_seh,hub_batching,76,76,228,4,7.318262577056885,O=C(Nc1ccc(-c2c[nH]cn2)cn1)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1,O=C(Nc1ccc(-c2cn(CC3CC3)cn2)cn1)c1ccc2oc(-c3cc(C(F)(F)F)ccn3)nc2c1
rgfn_seh,hub_batching,77,77,231,3,7.039151668548584,N#Cc1ccc(-c2ccc3[nH]c(C4CCN4)nc3c2)cc1F,N#Cc1ccc(-c2ccc3[nH]c(C4CCN4CC4Cc5ccccc5CN4)nc3c2)cc1F
rgfn_seh,hub_batching,78,78,232,1,7.027941703796387,N#Cc1ccc(-c2ccc3[nH]c(C4CCN4)nc3c2)cc1F,Fc1cc(-c2ccc3[nH]c(C4CCN4)nc3c2)ccc1-c1nnnn1CC1CC1
rgfn_seh,hub_batching,79,79,236,4,7.12683629989624,O=C(Nc1cc(-c2cccnc2)n[nH]1)N1CCC1CNc1cc(Br)ccc1O,O=C(Nc1cc(-c2cccnc2)n[nH]1)N1CCC1CNc1cc(-c2cccnc2)ccc1O
