set,cutoff,n_above_cutoff,frac_above_cutoff,n_scored,n_replicates,subsampled,mean_pairwise_similarity,mean_pairwise_similarity_sd,modes_per_mol,modes_per_mol_sd,butina_per_mol,butina_per_mol_sd,scaffolds_per_mol,scaffolds_per_mol_sd
enumerated,5.9,381283,0.6303865485086965,2500,3,True,0.15412178062929152,0.0006886355427698629,0.9726666666666667,0.00378065250100207,0.9713333333333334,0.003330665599145801,0.9892,0.00040000000000001146
enumerated,6.0,362820,0.5998611202962767,2500,3,True,0.15501551742231634,0.000800911848097311,0.9710666666666666,0.005896891836665576,0.9697333333333334,0.005445487428443224,0.9888,0.0006928203230276028
enumerated,6.1,343035,0.5671499900800212,2500,3,True,0.1557428781682123,0.0007323043199039909,0.9697333333333334,0.006354001363970031,0.9681333333333333,0.0056615663321498925,0.9895999999999999,0.00040000000000001146
enumerated,6.2,321994,0.5323622776271411,2500,3,True,0.15655282166481901,0.0007441053032694877,0.9670666666666667,0.007571877794400371,0.9653333333333333,0.007270029802781601,0.9909333333333333,0.0008326663997864681
enumerated,6.3,300078,0.49612790159380993,2500,3,True,0.1574499983225578,0.0007784211937488325,0.9645333333333334,0.0078008546540320215,0.9626666666666667,0.007635007094517591,0.9912,0.0008000000000000229
enumerated,6.4,277516,0.45882547450565436,2500,3,True,0.15824659890352538,0.0006155425141033916,0.9630666666666666,0.009263548636096944,0.9603999999999999,0.009059801322324909,0.9913333333333333,0.0010066445913694327
enumerated,6.5,254251,0.42036075656371935,2500,3,True,0.15938329868273093,0.00074819393377593,0.9609333333333333,0.008619358058076766,0.9582666666666667,0.008488423489278392,0.9906666666666667,0.0012858201014657527
enumerated,6.6,230872,0.3817075590238741,2500,3,True,0.1605614909026083,0.0007824859421388443,0.9581333333333334,0.007114304838375524,0.9552,0.0066813172353960785,0.9918666666666667,0.0010066445913694327
enumerated,6.7,207927,0.34377190661993257,2500,3,True,0.16224000278025727,0.0004511003930666018,0.9544,0.0031749015732775157,0.9517333333333333,0.002571640202931465,0.9914666666666667,0.00023094010767588897
enumerated,6.8,185408,0.30654057271344487,2500,3,True,0.1630764071247617,0.0008030223170962848,0.9517333333333333,0.0018903262505010662,0.9482666666666666,0.0020526405757787585,0.9916,0.0006928203230275387
enumerated,6.9,163256,0.26991601084584355,2500,3,True,0.16471785126711447,0.0006177624910434265,0.9470666666666666,0.00100664459136944,0.9426666666666667,0.001973153144926473,0.9910666666666667,0.0008326663997864681
enumerated,7.0,140934,0.23301038291118312,2500,3,True,0.16625103864670068,0.0006823796442748664,0.9384,0.0027999999999999852,0.932,0.0018330302779823644,0.9905333333333334,0.0009237604307034277
enumerated,7.1,118829,0.19646352754447458,2500,3,True,0.16903004982406714,0.0009492661621418825,0.9302666666666667,0.004936935621752991,0.9233333333333333,0.004085747585611917,0.9910666666666667,0.0014047538337136544
