rank,hub,depth,n_children,n_effective,U_h,mean_Fhat,max_reward,median_reward,n_hits
76,O=C(NCc1cn(CC2CC2)c2ccccc12)c1cccc(B(O)O)c1,2,116,116,6.996,67.434,8.333,7.37,86
77,O=Cc1cccc(C2=NCCc3ccccc32)c1,1,2478,2478,131.452,65.775,8.281,6.791,935
78,Nc1ccc(NCCc2cn(CC3CC3)c3ccccc23)cc1N,2,3793,3793,42.111,67.643,8.276,6.127,659
79,O=C(Nc1ccc(Br)cc1)[C@H]1CCCNC1,1,7139,7139,36.438,66.469,8.157,6.553,1976
80,O=Cc1cccc(C(=O)NC2CC2)c1,1,2478,2478,112.402,63.258,8.243,6.685,887
81,NCc1cn(Cc2ccc(-c3nc4cc(-c5nnn(CC6CC6)n5)ccc4o3)cc2)c2ccccc12,3,728,728,28.689,67.525,8.266,7.131,418
82,Fc1cccc(C2=NCCc3ccccc32)n1,1,1996,1996,38.67,65.619,8.151,6.562,530
83,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1cccc(B(O)O)c1,2,166,166,98.523,60.034,8.265,6.894,73
84,Nc1cccc(-c2cn(CC3CC3)cn2)c1,2,1117,1117,49.052,63.089,8.369,6.511,338
85,O=C(O)c1ccc2nc(-c3cccc(C(=O)NC4CC4)c3)oc2c1,2,896,896,43.891,68.42,8.334,6.79,365
86,O=C(O)c1ccc2nc(-c3ccc(C(=O)NC4CC4)cc3)oc2c1,2,896,896,43.65,68.067,8.347,6.798,355
87,O=C(O)C1CN(C(=O)C2CNC2)C1,1,9428,9428,37.861,65.064,8.134,6.261,1551
88,OB(O)c1cccc(NCc2cccc(C3=NCCc4ccccc43)c2)c1,2,1209,1209,47.057,68.82,8.281,5.319,71
89,O=Cc1ccc(-c2cnc(F)nc2)cc1,1,4474,4474,94.495,60.445,8.225,5.984,602
90,OB(O)c1cccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c1,2,2353,2353,46.471,64.983,8.297,5.155,99
91,Nc1cccc(-c2ccc3nc(C4CNC4)[nH]c3c2)c1,2,2261,2261,54.976,65.695,8.274,6.152,480
92,OB(O)c1cccc(-c2nnnn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c1,2,116,116,6.032,67.813,8.232,7.196,73
93,O=C(O)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1,2,896,896,32.166,70.309,8.343,6.757,333
94,Brc1ccnc(NC23CC(C2)C3)c1,1,7139,7139,48.146,61.851,8.239,5.903,838
95,CC1(C)OB(c2ccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)nc2)OC1(C)C,2,1209,1209,41.886,67.938,8.283,5.552,105
96,OB(O)c1cccc(NCc2ccc3nc(C4CNC4)oc3c2)c1,2,2302,2302,45.059,66.602,8.239,5.303,104
